indicator,get,description
Crime Rate,CrimeRate,CRIME RATE
Higher Education Rate ,HigherEducationRate,PERCENTAGE OF HIGHER EDUCATION
GDP,GDP,GDP
Housing Price Level,HousingPriceLevel,HOUSING PRICE LEVEL
Life Expectancy,LifeExpectancy,LIFE EXPECTANCY
Unemployment Rate,UnemploymentRate,UNEMPLOYMENT RATE
