id,PROV_ID,NAME_2,MoneyEarned,AvgTransactionEarned,OutofProvinceEarnings,ForeignEarnings,EarningsDiversity,BusinessDensity,NightTimeEarning,WeekendEarning,NightTimeTransactions,WeekendTransactions,SpendingExpensive
12,12,Castellon,4.17E-01,0.074207658,0.107269919,0.579143133,0.576672671,0.422797153,0.433214721,0.465883111,0.649977636,0.519128601,0.422410354
46,46,Valencia,4.42E-01,0.24556829,0.1650043,0.464254105,0.765056399,0.478717623,0.439371689,0.518312283,0.594262214,0.48970623,0.592234274
6,6,Badajoz,4.09E-01,0.16164401,0.223813164,0.498649969,0.193475641,0.393340849,0.433254277,0.706261721,0.736726202,0.72552709,0.277394864
10,10,Caceres,4.07E-01,0.46437942,0.668770593,0.401720365,0.081593375,0.390921023,0.434585088,0.625864477,0.888811864,0.672990695,0.240249527
15,15,A Corua,4.24E-01,0.328399286,0.303843539,0.362269736,0.576672671,0.434770485,0.436292854,2.08E-08,0.749904593,8.56E-10,0.865393692
27,27,Lugo,4.08E-01,0.565865079,0.495893097,0.255000277,0.193475641,0.395268432,4.32E-01,0.640130336,0.204502319,0.558080358,0.823888911
32,32,Ourense,4.09E-01,0.16426961,0.436378814,0.357803603,0.193475641,0.397893405,0.433012994,0.698519519,0.652859257,0.563506602,0.884631494
36,36,Pontevedra,4.26E-01,0.34636373,0.636879383,0.381009571,0.576672671,0.457171545,0.434326984,0.314694345,0.325756457,0.43269592,0.836307825
7,7,Baleares,4.29E-01,0.482655613,0.081360692,0.97349822,0.962560975,0.458005088,0.433949291,0.661707608,0.501130743,0.592542134,0.403636866
35,35,Las Palmas,0.406252733,0.035157565,0.083343118,0.999046367,0.576672671,0.387008499,4.32E-01,0.692933785,0.929510389,0.673316238,0.620051677
26,26,La Rioja,4.14E-01,0.629359072,0.658107686,0.241306287,0.368478632,0.406579661,0.460619928,0.364614682,0.035862112,0.352306841,0.236045836
1,1,Alava,4.16E-01,0.872655391,0.992866417,0.275891192,0.576672671,0.417771962,1,0.540834469,0.710013283,0.557902258,0.438227251
20,20,Guipzcoa,4.46E-01,0.99297618,0.618778692,0.674326008,0.576672671,0.500463624,0.498675425,0.286267602,0.052229402,0.360549347,0.427174478
48,48,Vizcaya,4.92E-01,0.941579423,0.420266655,0.317867536,0.894703518,0.547857602,0.67686788,0.588401448,0.726884695,0.560483545,0.463123944
33,33,Asturias,4.19E-01,0.636407015,0.243156707,0.276331711,0.576672671,0.421679327,0.436716667,0.448492924,0.365712074,0.573260818,0.945534266
30,30,Murcia,4.15E-01,0.278424381,0.232484153,0.448715501,0.576672671,0.424455761,0.434853528,0.42894378,0.169170012,0.423753386,0.506537445
38,38,Santa Cruz de Tenerife,4.12E-01,0.037142867,0.136643875,0.992657576,0.765056399,0.400148733,0.434581933,0.089510235,0.022219158,0.214391279,0.221359662
