indicator,get,description
Crime Rate,CrimeRate,Crime Rate
Higher Education Rate ,HigherEducationRate,Percentage of Higher Education
GDP,GDP,Gross Domestic Product
Housing Price Level,HousingPriceLevel,Housing Price Level
Life Expectancy,LifeExpectancy,Life Expectancy
Unemployment Rate,UnemploymentRate,Unemployment Rate
