indicator,get,description
CRIME RATE,CRIME RATE,CRIME RATE
PERCENTAGE OF HIGHER EDUCATION,PERCENTAGE OF HIGHER EDUCATION,PERCENTAGE OF HIGHER EDUCATION
GDP,GDP,GDP
HOUSING PRICE LEVEL,HOUSING PRICE LEVEL,HOUSING PRICE LEVEL
LIFE EXPECTANCY,LIFE EXPECTANCY,LIFE EXPECTANCY
UNEMPLOYMENT RATE,UNEMPLOYMENT RATE,UNEMPLOYMENT RATE
