4,0.14958,0.97365,0.033531,0.12619,0.4423,0.091665
11,0.15271,0.96636,0.035384,0.44514,0.26778,0.030971
14,0.12737,0.929,0.048457,0.26904,0.64365,0.29891
18,0.11573,0.81355,0.1748,0.55392,0.53617,0.15711
21,0.21297,0.97641,0.024253,0.31793,0.41632,0.065524
23,0.1044,0.75386,0.19148,0.17213,0.57015,0.11853
29,0.17159,0.91535,0.084755,0.33105,0.41824,0.19355
41,0.23018,0.84234,0.15542,0.56256,0.54144,0.059516
22,0.84703,0.12986,0.87138,0.50753,0.69825,0.7088
44,0.77247,0.12226,0.86219,0.22973,0.7391,0.66838
50,0.78254,0.29452,0.71835,0.83371,0.65803,0.50306
39,0.54065,0.18164,0.84594,0.85295,0.57897,0.60592
2,0.22292,0.71341,0.25568,0.27387,0.57467,0.60923
13,0.22958,0.74748,0.21347,0.17399,0.54236,0.41488
16,0.25246,0.26363,0.70113,0.042477,0.74841,0.81914
19,0.33004,0.5376,0.49194,0.74445,0.59019,0.92142
45,0.182,0.73436,0.24902,0.24437,0.72236,0.8509
5,0.28588,0.40603,0.52458,0.089287,0.69991,0.69813
9,0.88773,0.13606,0.87291,0.89728,0.60535,0.79363
24,0.42164,0.19876,0.79088,0.34976,0.67147,0.79282
34,0.62304,0.23178,0.76978,0.44226,0.6023,0.5852
37,0.30504,0.19075,0.7893,0.76058,0.74296,0.9623
40,0.5157,0.17831,0.81468,0.4828,0.63594,0.87674
42,0.68732,0.090857,0.8976,0.44514,0.58215,0.97152
47,0.71471,0.32558,0.70353,0.93707,0.68084,0.78991
49,0.29497,0.14177,0.822,0.1076,0.62943,0.88578
8,0.86074,0.50277,0.51736,0.7462,0.62968,0.67813
17,0.86982,0.67843,0.33016,0.38408,0.54678,0.66562
25,0.8798,0.27911,0.73466,0.32907,0.57253,0.4622
43,0.87304,0.57964,0.43189,0.41364,0.44667,0.53412
51,0.32774,0.7798,0.20302,0.13869,7.5431e-09,0.0041169
52,0.20447,0.48854,0.47595,0.20508,0.00012927,0.014243
28,0.96006,0.37613,0.67802,0.98027,0.60448,0.92919
31,0.95098,0.12171,0.89017,0.94188,0.57774,0.90402
3,0.1794,0.68825,0.29694,0.42861,0.46617,0.52
12,0.58743,0.7477,0.26732,0.35722,0.44958,0.40133
46,0.45647,0.68615,0.33587,0.67926,0.48276,0.2337
6,0.095142,0.8545,0.11299,0.22807,0.58085,0.21791
10,0.09883,0.53055,0.4197,0.20664,0.60428,0.53913
15,0.52697,0.18305,0.83168,0.80648,0.62688,0.42061
27,0.32017,0.055817,0.94113,0.28429,0.70093,0.56439
32,0.30819,0.22971,0.70939,0.14194,0.56356,0.41058
36,0.32719,0.54741,0.4699,0.42147,0.54136,0.52564
7,0.68366,0.82098,0.23091,0.23811,0.32356,0.41394
35,0.31853,0.96474,0.062112,0.2757,0.4143,0.2088
26,0.80666,0.35036,0.65728,0.81341,0.61414,0.74935
1,0.99856,0.082833,0.93647,0.97133,0.52878,0.80136
20,0.98464,0.053558,0.95455,0.99855,0.62439,0.70831
48,0.93838,0.16376,0.85591,0.98071,0.68809,0.49546
33,0.47556,0.25995,0.76483,0.72715,0.58764,0.20144
30,0.24696,0.78578,0.21207,0.32775,0.43309,0.31318
38,0.30052,0.90248,0.13389,0.40372,0.44861,0.21646
